a,pole magnitude (tau=3ms),pole magnitude (tau=5ms),pole magnitude (tau=10ms)
0.12688442211055279,0.9876456165664635,1.127194413917659,1.4765285307931815
0.13316582914572866,0.9876455831354757,1.120810548642463,1.4680909081324476
0.13944723618090454,0.9876455500166087,1.1144383524003485,1.4596635471309827
0.14572864321608042,0.9876455172364202,1.1080779099095188,1.4512464902863251
0.1520100502512563,0.9876454848238011,1.1017293068001024,1.4428397786525178
0.15829145728643218,0.9876454528039786,1.0953926296553893,1.434443451739274
0.16457286432160806,0.9876454212102262,1.0890679660557718,1.4260575475170256
0.17085427135678394,0.9876453900750204,1.0827554046257453,1.417682102224032
0.17713567839195982,0.9876453594262178,1.0764550350840054,1.4093171504086088
0.1834170854271357,0.9876453293061558,1.0701669482971277,1.4009627248725045
0.18969849246231157,0.9876452997477521,1.063891236336653,1.3926188566198463
0.19597989949748745,0.9876452707907025,1.0576279925402077,1.3842855746593634
0.20226130653266333,0.9876452424756266,1.0513773115771434,1.375962906189932
0.2085427135678392,0.9876452148484455,1.045139289517732,1.3676508763409578
0.2148241206030151,0.9876451879549291,1.038914023908374,1.3593495082528393
0.22110552763819097,0.9876451618385325,1.0327016138508558,1.351058822929991
0.22738693467336685,0.9876451365555188,1.026502160088012,1.3427788392881457
0.23366834170854273,0.9876451121572123,1.0203157650946018,1.3345095740784119
0.2399497487437186,0.9876450886984839,1.0141425331750036,1.326251041853792
0.24623115577889448,0.9876450662440145,1.0079825705675212,1.3180032548925567
0.2525125628140704,0.9876450448531716,1.0018359855559815,1.3097662233093408
0.2587939698492463,0.9876450245932544,0.995702888589174,1.3015399549134852
0.2650753768844222,0.9876450055347865,0.9895833924089054,1.2933244552973093
0.27135678391959805,0.9876449877529349,0.9876350773630651,1.2851197278368747
0.27763819095477393,0.987644971323374,0.987635031561771,1.2769257735855466
0.2839195979899498,0.9876449563304694,0.9876349879199519,1.268742591466944
0.2902010050251257,0.9876449428624074,0.987634946595983,1.2605701783627268
0.29648241206030157,0.9876449310117469,0.9876349077267057,1.2524085289492684
0.30276381909547745,0.9876449208753103,0.9876348714869192,1.2442576360695994
0.3090452261306533,0.9876449125564047,0.98763483806602,1.2361174906995303
0.3153266331658292,0.9876449061650191,0.9876348076037716,1.2279880820669418
0.3216080402010051,0.9876449018178913,0.9876347803257179,1.2198693978876876
0.32788944723618096,0.9876448996371269,0.9876347564606647,1.211761424694817
0.33417085427135684,0.9876448997524345,0.987634736161531,1.2036641477615273
0.3404522613065327,0.9876449023002246,0.9876347197018939,1.1955775517324025
0.3467336683417086,0.9876449074291473,0.9876347073363968,1.187501620800133
0.3530150753768845,0.9876449152930972,0.9876346993045516,1.1794363391651117
0.35929648241206036,0.9876449260538762,0.9876346958513985,1.1713816914235031
0.36557788944723624,0.9876449398869429,0.9876346973554695,1.1633376631536338
0.3718592964824121,0.9876449569780407,0.9876347040147446,1.1553042415476502
0.378140703517588,0.9876449775210735,0.9876347163111117,1.147281416112901
0.3844221105527639,0.9876450017267002,0.9876347344987729,1.1392691793868563
0.39070351758793975,0.9876450298144382,0.9876347589122014,1.1312675278964677
0.39698492462311563,0.9876450620199457,0.9876347900597456,1.1232764633634738
0.4032663316582915,0.9876450985945039,0.9876348282644536,1.1152959936633404
0.4095477386934674,0.9876451398023526,0.9876348740663868,1.1073261341868528
0.41582914572864327,0.987645185931622,0.9876349278470099,1.0993669096599261
0.42211055276381915,0.9876452372766862,0.9876349902297524,1.091418355319874
0.428391959798995,0.9876452941643268,0.9876350617237327,1.0834805196263486
0.4346733668341709,0.9876453569351498,0.9876351428740998,1.0755534658031167
0.4409547738693468,0.9876454259584537,0.9876352343685982,1.067637274576534
0.44723618090452266,0.987645501617645,0.9876353368373033,1.0597433027044716
0.45351758793969854,0.9876455843354083,0.9876354509695754,1.0520256591160173
0.4597989949748744,0.9876456745560802,0.9876355775257116,1.044314770659443
0.4660804020100503,0.987645772751026,0.9876357174862014,1.0370476127254693
0.4723618090452262,0.9876458794335855,0.9876358714417869,1.0299008521263635
0.47864321608040206,0.9876459951468889,0.987636040628106,1.0227491339614805
0.48492462311557794,0.9876461204711084,0.9876362257288084,1.015592777479776
0.4912060301507538,0.9876462560298181,0.9876364280657173,1.0086835663519909
0.4974874371859297,0.9876464024993761,0.9876366486183713,1.0025831009895758
0.5037688442211056,0.9876465605920223,0.9876368888013866,0.9964631198177927
0.5100502512562815,0.9876467310773377,0.9876371498017448,0.9903240269218623
0.5163316582914573,0.9876469147847655,0.9876374330352198,0.9876084124855924
0.5226130653266332,0.9876471126032897,0.9876377401152922,0.987609341579214
0.5288944723618091,0.9876473254912936,0.9876380726949959,0.9876094449269927
0.535175879396985,0.9876475544788494,0.9876384324117811,0.9876108169477542
0.5414572864321608,0.9876478006718648,0.9876388213519518,0.9876110300646993
0.5477386934673367,0.9876480652688912,0.9876392414379787,0.9876117024027748
0.5540201005025126,0.9876483495527576,0.9876396949651509,0.9876133139201049
0.5603015075376885,0.9876486549244768,0.9876401843448018,0.9876128709419582
0.5665829145728644,0.9876489828828507,0.9876407120405852,0.9876134768772246
0.5728643216080402,0.9876493350578774,0.9876412810236682,0.9876194907400757
0.5791457286432161,0.9876497132110886,0.9876418941789649,0.9876239511990144
0.585427135678392,0.9876501192454439,0.9876425549147274,0.9876158000952805
0.5917085427135679,0.9876505552295362,0.9876432667577184,0.9876263078046783
0.5979899497487438,0.9876510234023773,0.9876440335710968,0.9876191394268875
0.6042713567839196,0.9876515262064914,0.9876448595516677,0.9876280339341937
0.6105527638190955,0.9876520662918435,0.9876457491163274,0.9876357649564724
0.6168341708542714,0.9876526465316304,0.9876467073327487,0.9876238141168047
0.6231155778894473,0.9876532700643311,0.987647739672752,0.9876224463329811
0.6293969849246231,0.9876539403187513,0.987648851842251,0.9876326550137484
0.635678391959799,0.9876546610285777,0.9876500505164322,0.9876329984174078
0.6419597989949749,0.9876554362744635,0.9876513426384808,0.9876286586690369
0.6482412060301508,0.9876562705179759,0.9876527353640717,0.9876447531896131
0.6545226130653267,0.9876571686384837,0.9876542377459433,0.9876535745493729
0.6608040201005025,0.9876581360056875,0.9876558587272025,0.987646503434352
0.6670854271356784,0.987659178491275,0.9876576082005926,0.9876546249801812
0.6733668341708543,0.9876603025521041,0.9876594974053408,0.987639612916904
0.6796482412060302,0.9876615152914968,0.9876615383285192,0.9876365022712432
0.6859296482412061,0.9876628245218768,0.9876637442484982,0.9876766715016158
0.6922110552763819,0.9876642389011966,0.9876661300814619,0.9876773719184624
0.6984924623115578,0.9876657679268493,0.9876687119272491,0.9876650797049832
0.7047738693467337,0.9876674220989218,0.9876715072652844,0.987680195047325
0.7110552763819096,0.9876692131254983,0.9876745366007296,0.9876460588097896
0.7173366834170855,0.987671153859676,0.987677820970841,0.9877235073911983
0.7236180904522613,0.9876732586450395,0.9876813851595131,0.9877203152828222
0.7298994974874372,0.987675543385543,0.9876852555175661,0.9876409745769081
0.7361809045226131,0.9876780257965564,0.9876894618275046,0.9876411444079033
0.742462311557789,0.9876807256008112,0.9876940367017715,0.9876486059421528
0.7487437185929648,0.987683664742843,0.987699018555302,0.9876853452492173
0.7550251256281408,0.9876868677991397,0.9877044467169385,0.9876836048833264
0.7613065326633166,0.9876903622288044,0.987710366808767,0.9876914542583911
0.7675879396984926,0.9876941787433156,0.9877168296783116,0.9879309580534895
0.7738693467336684,0.9876983517651131,0.9877238917922175,0.9877480280408424
0.7801507537688444,0.9877029198697361,0.9877316174627,0.9877291983818098
0.7864321608040201,0.9877079264105598,0.987740074400526,0.9878026023797598
0.7927135678391961,0.9877134200554494,0.9877493468334824,0.9876852261537636
